"PM18C","A01-04","Ketoprofen","biofilm inhibitor, anti-capsule agent, prostaglandin syntetase inhibitor","","","","","D00132","CAS 22071-15-4"
"PM18C","A05-08","Sodium pyrophosphate","chelator, hydrophilic","","","","","D05873","CAS 13472-36-1"
"PM18C","A09-12","Thiamphenicol","protein synthesis, amphenicol","","","","","D01407","CAS 15318-45-3"
"PM18C","B01-04","Trifluorothymidine","nucleic acid analog, pyrimidine, DNA synthesis","","","","","","CAS 70-00-8"
"PM18C","B05-08","Pipemidic Acid","DNA topoisomerase","","","","","D08379","CAS 51940-44-4"
"PM18C","B09-12","Azathioprine","nucleic acid analog, purine","","","","","D00238","CAS 446-86-6"
"PM18C","C01-04","Poly-L-lysine","membrane, detergent, cationic","","","","","","CAS 26124-78-7"
"PM18C","C05-08","Sulfisoxazole","folate antagonist, PABA analog","","","","","D00450","CAS 127-69-5"
"PM18C","C09-12","Pentachlorophenol","respiration, ionophore, H+","","","","","C02575","CAS 87-86-5"
"PM18C","D01-04","Sodium Arsenite","toxic anion","","","","","","CAS 7784-46-5"
"PM18C","D05-08","Sodium Bromate","toxic anion","","","","","","CAS 7789-38-0"
"PM18C","D09-12","Lidocaine","ion channel inhibitor, Na+, anaesthetic","","","","","D00358","CAS 137-58-6"
"PM18C","E01-04","Sodium metasilicate","toxic anion","","","","","","CAS 13517-24-3"
"PM18C","E05-08","Sodium periodate","toxic anion, oxidizing agent","","","","","","CAS 7790-28-5"
"PM18C","E09-12","Antimony (III) chloride","toxic cation","","","","","","CAS 10025-91-9"
"PM18C","F01-04","Semicarbazide hydrochloride","amine oxidase inhibitor, carcinogen","","","","","C19521","CAS 563-41-7"
"PM18C","F05-08","Tinidazole","nitro compound, oxidizing agent, DNA damage","","","","","D01426","CAS 19387-91-8"
"PM18C","F09-12","Aztreonam","wall, lactam","","","","","D00240","CAS 78110-38-0"
"PM18C","G01-04","Triclosan","lipid synthesis, fatty acid inhibitor","","","","","D06226","CAS 3380-34-5"
"PM18C","G05-08","3,5- Diamino-1,2,4-triazole (Guanazole)","ribonucleotide DP reductase inhibitor","","","","","","CAS 1455-77-2"
"PM18C","G09-12","Myricetin","DNA & RNA synthesis, polymerase inhibitor","","","","","C10107","CAS 529-44-2"
"PM18C","H01-04","5-Fluoro-5`-deoxyuridine","nucleic acid analog, pyrimidine, DNA synthesis","","","","","D04197","CAS 3094-09-5"
"PM18C","H05-08","2- Phenylphenol","DNA intercalator","","","","","D08367","CAS 90-43-7"
"PM18C","H09-12","Plumbagin","oxidizing agent","","","","","C10387","CAS 481-42-5"
