"PM25B","A01-04","Hydroxyurea","ribonucleotide DP reductase inhibitor, antifolate (inhibits thymine and methionine synthesis)","","","","","D00341","CAS 127-07-1"
"PM25B","A05-08","Tobramycin","protein synthesis, 30S ribosomal subunit, aminoglycoside","","","","","D00063","CAS 32986-56-4"
"PM25B","A09-12","Niaproof","membrane, detergent, anionic","","","","","D06882","CAS 139-88-8"
"PM25B","B01-04","b-Chloro-L-alanine","alanine analog","","","","","D00416","CAS 51887-89-9"
"PM25B","B05-08","Tetrazolium violet","respiration, uncoupler","","","","","","CAS 1719-71-7"
"PM25B","B09-12","Kanamycin","protein synthesis, 30S ribosomal subunit, aminoglycoside","","","","","D00866","CAS 25389-94-0"
"PM25B","C01-04","4-Aminopyridine","ion channel inhibitor, K+","","","","","D04127","CAS 504-24-5"
"PM25B","C05-08","Amitriptyline","membrane, transport","","","","","D00809","CAS 549-18-8"
"PM25B","C09-12","Citric acid","","","","","","","CAS 6132-04-3"
"PM25B","D01-04","Mechlorethamine hydrochloride","alkylating agent","","","","","D04872","CAS 55-86-7"
"PM25B","D05-08","Hygromycin B","protein synthesis, 30S ribosomal subunit, aminoglycoside","","","","","C00604","CAS 31282-04-9"
"PM25B","D09-12","5-Fluoro-5`-deoxyuridine","DNA synthesis inhibitor","","","","","D04197","CAS 3094-09-5"
"PM25B","E01-04","Sodium salicylate","biofilm inhibitor, anti-capsule agent, chelator, prostaglandin syntetase inhibitor, mar inducer","","","","","D00566","CAS 54-21-7"
"PM25B","E05-08","Succinic acid","organic acid","","","","","","CAS 6106-21-4"
"PM25B","E09-12","Ferulic acid","antioxidant","","","","","C01494","CAS 537-98-4"
"PM25B","F01-04","DL-Malic acid","organic acid","","","","","D04843","CAS 6915-15-7"
"PM25B","F05-08","Tartaric acid","organic acid","","","","","C02107","CAS 147-71-7"
"PM25B","F09-12","Fumaric acid","organic acid","","","","","D02308","CAS 17013-01-3"
"PM25B","G01-04","5-Fluorocytosine","DNA synthesis inhibitor","","","","","D00323","CAS 2022-85-7"
"PM25B","G05-08","Palladium(II) chloride","toxic cation","","","","","","CAS 7647-10-1"
"PM25B","G09-12","Ibuprofen","biofilm inhibitor, anti-capsule agent, prostaglandin syntetase inhibitor","","","","","D08059","CAS 31121-93-4"
"PM25B","H01-04","Chloroquine","iron depleter","","","","","D02125","CAS 50-63-5"
"PM25B","H05-08","trans-Cinnamic acid","respiration, ionophore, H+","","","","","","CAS 140-10-3"
"PM25B","H09-12","5-Fluorouracil","nucleic acid analog, pyrimidine","","","","","D00584","CAS 51-21-8"
