,plate_id,study,plate_type,species,strain,media,rep,setup_time
0,1,P. putida JBEI,PM01,P. putida,15070,IF0,R1,11/15/2020 4:59:27 PM
1,2,P. putida JBEI,PM01,P. putida,15070,IF0,R2,11/15/2020 4:59:27 PM
2,3,P. putida JBEI,PM01,P. putida,31753,IF0,R1,11/15/2020 4:59:27 PM
3,4,P. putida JBEI,PM01,P. putida,31753,IF0,R2,11/15/2020 4:59:27 PM
4,5,P. putida JBEI,PM01,P. putida,49688,IF0,R1,11/15/2020 4:59:27 PM
5,6,P. putida JBEI,PM01,P. putida,49688,IF0,R2,11/15/2020 4:59:27 PM
6,7,P. putida JBEI,PM01,P. putida,68832,IF0,R1,11/20/2020 12:56:37 PM
7,8,P. putida JBEI,PM01,P. putida,68832,IF0,R2,11/20/2020 12:56:37 PM
8,9,P. putida JBEI,PM01,P. putida,700097,IF0,R1,11/15/2020 4:59:27 PM
9,10,P. putida JBEI,PM01,P. putida,700097,IF0,R2,11/15/2020 4:59:27 PM
10,11,P. putida JBEI,PM01,P. putida,11172,IF0,R1,11/15/2020 4:59:27 PM
11,12,P. putida JBEI,PM01,P. putida,11172,IF0,R2,11/15/2020 4:59:27 PM
12,13,P. putida JBEI,PM01,P. putida,23484,IF0,R1,11/15/2020 4:59:27 PM
13,14,P. putida JBEI,PM01,P. putida,23484,IF0,R2,11/15/2020 4:59:27 PM
14,15,P. putida JBEI,PM01,P. putida,795,IF0,R1,11/20/2020 12:56:37 PM
15,16,P. putida JBEI,PM01,P. putida,795,IF0,R2,11/20/2020 12:56:37 PM
16,17,P. putida JBEI,PM01,P. putida,598,IF0,R1,11/20/2020 12:56:37 PM
17,18,P. putida JBEI,PM01,P. putida,598,IF0,R2,11/20/2020 12:56:37 PM
18,19,P. putida JBEI,PM01,P. putida,12842,IF0,R1,11/20/2020 12:56:37 PM
19,20,P. putida JBEI,PM01,P. putida,12842,IF0,R2,11/20/2020 12:56:37 PM
20,21,P. putida JBEI,PM01,P. putida,17428,IF0,R1,11/20/2020 12:56:37 PM
21,22,P. putida JBEI,PM01,P. putida,17428,IF0,R2,11/20/2020 12:56:37 PM
22,23,P. putida JBEI,PM01,P. putida,17453,IF0,R1,11/15/2020 4:59:27 PM
23,24,P. putida JBEI,PM01,P. putida,17453,IF0,R2,11/15/2020 4:59:27 PM
